Province_Number,Political_Subdivision_Segment,Projected_Longitude,Projected_Latitude,Unprojected_Latitude_Radians,Unprojected_Longitude/Radians
45,1,3661.25,3502.14,0.24212,0.71678
45,1,3662.58,3499.92,0.24205,0.71682
45,1,3664.34,3497.7,0.24198,0.71688
45,1,3665.82,3495.47,0.24191,0.71693
45,1,3667.14,3493.25,0.24183,0.71697
45,1,3668.62,3490.88,0.24176,0.71702
45,1,3669.94,3488.66,0.24168,0.71707
45,1,3671.42,3486.44,0.24161,0.71711
45,1,3672.74,3484.21,0.24154,0.71716
45,1,3673.92,3482.29,0.24148,0.7172
45,1,3675.25,3480.06,0.2414,0.71724
45,1,3676.72,3477.84,0.24133,0.71729
45,1,3678.05,3475.47,0.24125,0.71733
45,1,3679.52,3473.25,0.24118,0.71738
45,1,3680.41,3470.73,0.2411,0.71741
45,1,3681.88,3468.51,0.24102,0.71746
45,1,3683.21,3466.13,0.24095,0.7175
45,1,3684.69,3463.91,0.24087,0.71755
45,1,3686.16,3461.69,0.2408,0.7176
45,1,3687.49,3459.32,0.24072,0.71764
45,1,3688.52,3456.8,0.24064,0.71768
45,1,3689.85,3454.58,0.24057,0.71772
45,1,3691.32,3452.35,0.2405,0.71777
45,1,3692.36,3449.69,0.24041,0.7178
45,1,3693.69,3447.46,0.24034,0.71785
45,1,3695.16,3445.24,0.24026,0.71789
45,1,3696.2,3442.57,0.24018,0.71793
45,1,3697.23,3439.9,0.24009,0.71796
45,1,3698.12,3437.39,0.24001,0.71799
45,1,3699.16,3434.72,0.23992,0.71803
45,1,3700.63,3432.5,0.23985,0.71807
45,1,3701.96,3430.27,0.23977,0.71812
45,1,3703.44,3427.9,0.2397,0.71817
45,1,3704.76,3425.68,0.23962,0.71821
45,1,3706.24,3423.46,0.23955,0.71826
45,1,3707.56,3421.23,0.23948,0.7183
45,1,3709.04,3419.01,0.2394,0.71835
45,1,3710.37,3416.64,0.23933,0.71839
45,1,3711.84,3414.42,0.23925,0.71844
45,1,3713.17,3412.19,0.23918,0.71849
45,1,3714.64,3409.97,0.23911,0.71853
45,1,3715.68,3407.3,0.23902,0.71857
45,1,3716.72,3404.78,0.23894,0.7186
45,1,3718.05,3402.41,0.23886,0.71865
45,1,3719.52,3400.19,0.23879,0.71869
45,1,3720.41,3397.52,0.2387,0.71872
45,1,3721.45,3395,0.23862,0.71876
45,1,3722.92,3392.78,0.23855,0.71881
45,1,3724.25,3390.41,0.23847,0.71885
45,1,3725.73,3388.19,0.2384,0.7189
45,1,3726.76,3385.67,0.23831,0.71893
45,1,3728.53,3383.74,0.23825,0.71899
45,1,3729.86,3381.52,0.23818,0.71903
45,1,3731.33,3379.15,0.2381,0.71908
45,1,3732.66,3376.93,0.23803,0.71913
45,1,3733.7,3374.26,0.23794,0.71916
45,1,3735.17,3372.03,0.23787,0.71921
45,1,3736.5,3369.81,0.2378,0.71925
45,1,3737.54,3367.14,0.23771,0.71929
45,1,3739.31,3365.37,0.23765,0.71934
45,1,3740.78,3362.99,0.23757,0.71939
45,1,3742.55,3361.22,0.23751,0.71945
45,1,3744.32,3359.29,0.23745,0.71951
45,1,3746.52,3357.66,0.2374,0.71958
45,1,3748.29,3355.74,0.23733,0.71964
45,1,3750.49,3354.26,0.23729,0.71971
45,1,3752.55,3352.63,0.23723,0.71978
45,1,3754.76,3351.15,0.23718,0.71985
45,1,3757.4,3349.96,0.23715,0.71994
45,1,3759.61,3348.33,0.23709,0.72001
45,1,3762.1,3347.15,0.23705,0.7201
45,1,3764.31,3345.67,0.23701,0.72017
45,1,3766.07,3344.48,0.23697,0.72023
45,1,3767.98,3343.3,0.23693,0.72029
45,1,3770.04,3341.67,0.23687,0.72036
45,1,3772.69,3340.49,0.23684,0.72044
45,1,3774.89,3338.86,0.23678,0.72052
45,1,3776.95,3337.38,0.23673,0.72059
45,1,3779.16,3335.89,0.23669,0.72066
45,1,3781.8,3334.56,0.23664,0.72075
45,1,3783.86,3333.08,0.23659,0.72081
45,1,3786.5,3331.9,0.23655,0.7209
45,1,3788.71,3330.27,0.2365,0.72097
