household_id,household_id2,rural,pw_w3,saq01,saq03,saq06,saq08,hh_s6aq0a,hh_s6aq01,hh_s6aq02
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,Kerosene,1,21
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,Transport,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Matches,1,4
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Batteries,1,16
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Laundry soap,1,59
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Hand soap,1,6
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Other personal care goods,1,8
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Kerosene,1,21
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Transport,1,50
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,Matches,1,3
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,Batteries,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,Laundry soap,1,26
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,Hand soap,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,Other personal care goods,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,Kerosene,1,13
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,Transport,1,70
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Matches,1,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Batteries,1,20
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Laundry soap,1,30
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Hand soap,2,
