,household_id,household_id2,rural,saq01,saq02,saq03,saq06,saq08,hh_saq09,hh_saq11,hh_saq12
161,1020700101357,10207010100101357,2,1,2,7,1,357,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
162,1020800603004,10208088800603004,1,1,2,8,6,4,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
163,1020800603019,10208088800603019,1,1,2,8,6,19,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
164,1020800603029,10208088800603029,1,1,2,8,6,29,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
165,1020800603034,10208088800603034,1,1,2,8,6,34,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
166,1020800603049,10208088800603049,1,1,2,8,6,49,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
167,1020800603064,10208088800603064,1,1,2,8,6,64,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
168,1020800603079,10208088800603079,1,1,2,8,6,79,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
169,1020800603094,10208088800603094,1,1,2,8,6,94,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
170,1020800603109,10208088800603109,1,1,2,8,6,109,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
171,1020800603124,10208088800603124,1,1,2,8,6,124,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
172,1020800603140,10208088800603140,1,1,2,8,6,140,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
173,1020800603180,10208088800603180,1,1,2,8,6,180,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
174,1020900602006,10209088800602006,1,1,2,9,6,6,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
175,1020900602024,10209088800602024,1,1,2,9,6,24,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
176,1020900602043,10209088800602043,1,1,2,9,6,43,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
